name,price,size,img1
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_7.png?v=1748507210
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_6.png?v=1748507210
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_5.png?v=1748507210
Executive Stripe Crest Polo,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_6.jpg?v=1748507198
,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_7.jpg?v=1748507198
,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_8.jpg?v=1748507198
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_6.jpg?v=1748507198
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_7.jpg?v=1748507198
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_8.jpg?v=1748507198
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_6.jpg?v=1748507198
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_7.jpg?v=1748507198
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_8.jpg?v=1748507198
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_6.jpg?v=1748507198
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_7.jpg?v=1748507198
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_8.jpg?v=1748507198
Urban Stripe Knit Polo T-Shirt,149.0,S/38,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Posh_Usk_MI_SP__1728902168236_jpg.png?v=1748507183
,149.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Posh_Usk_MI_SP__1728902126095_jpg.png?v=1748507183
,149.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Posh_Usk_MI_SP__1728902123536_jpg.png?v=1748507183
,149.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Posh_Usk_MI_SP__1728902220255_jpg.png?v=1748507183
Heraldic Weave Signature Polo T-Shirt,149.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/PPM_5.jpg?v=1748507174
,149.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/PPM_7.jpg?v=1748507174
,149.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/PPM_8.jpg?v=1748507174
,149.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/PPM_5.jpg?v=1748507174
,149.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/PPM_7.jpg?v=1748507174
,149.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/PPM_8.jpg?v=1748507174
,149.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/PPM_5.jpg?v=1748507174
,149.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/PPM_7.jpg?v=1748507174
,149.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/PPM_8.jpg?v=1748507174
,149.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/PPM_5.jpg?v=1748507174
,149.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/PPM_7.jpg?v=1748507174
